Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
12/8/2004,190.7029419,192.4687099,190.7029419,190.7029419,96460000,0,0
12/9/2004,190.702963,192.4687312,188.9371948,188.9371948,281890000,0,0
12/10/2004,188.9371948,190.702963,187.1714266,188.9371948,370970000,0,0
12/13/2004,187.1713922,187.1713922,181.8740887,185.4056244,303400000,0,0
12/14/2004,185.4056244,188.9371601,181.8740887,185.4056244,404780000,0,0
12/15/2004,185.4057043,185.4057043,176.5768612,180.1083984,475980000,0,0
12/16/2004,181.8741221,188.9371948,181.8741221,188.9371948,300610000,0,0
12/17/2004,188.9371905,201.2975675,188.9371905,199.5317993,968030000,0,0
12/20/2004,197.7660105,204.8290823,197.7660105,201.2975464,500500000,0,0
12/21/2004,201.2976013,203.0633698,199.5318329,203.0633698,259150000,0,0
12/22/2004,203.0633788,208.3606844,203.0633788,204.8291473,385500000,0,0
12/23/2004,206.5948944,208.3606627,204.8291261,206.5948944,190420000,0,0
12/24/2004,206.5948944,206.5948944,206.5948944,206.5948944,0,0,0
12/27/2004,204.8291293,211.8922027,204.8291293,210.1264343,239760000,0,0
12/28/2004,210.1263925,215.4236965,208.3606245,213.6579285,357530000,0,0
12/29/2004,215.4237394,215.4237394,210.1264343,210.1264343,112540000,0,0
12/30/2004,210.1264343,210.1264343,204.8291293,210.1264343,116110000,0,0
12/31/2004,210.1264343,210.1264343,210.1264343,210.1264343,0,0,0
1/3/2005,208.3606262,208.3606262,206.5948582,208.3606262,126180000,0,0
1/4/2005,208.3606901,213.6579957,208.3606901,211.8922272,291730000,0,0
1/5/2005,211.8921792,222.4867881,211.8921792,217.1894836,564730000,0,0
1/6/2005,218.9552518,218.9552518,213.6579473,217.1894836,161150000,0,0
1/7/2005,215.4236983,215.4236983,206.5948582,208.3606262,592910000,0,0
1/10/2005,208.36064,208.36064,192.4687268,199.5317993,1459290000,0,0
1/11/2005,199.5317993,201.2975675,196.000263,199.5317993,763270000,0,0
1/12/2005,197.7660275,199.5317956,194.2344913,196.0002594,346960000,0,0
1/13/2005,196.000299,199.531836,196.000299,197.7660675,462640000,0,0
1/14/2005,197.7660312,201.2975675,197.7660312,199.5317993,425410000,0,0
1/17/2005,199.5318329,203.0633698,199.5318329,203.0633698,186470000,0,0
1/18/2005,203.0633143,203.0633143,197.7660105,201.2975464,185970000,0,0
1/19/2005,201.2975464,201.2975464,197.7660105,201.2975464,641200000,0,0
1/20/2005,199.5318329,203.0633698,197.7660645,203.0633698,343520000,0,0
1/24/2005,203.0633698,203.0633698,201.2976013,203.0633698,162660000,0,0
1/25/2005,203.0633143,204.8290823,201.2975464,201.2975464,337900000,0,0
1/26/2005,203.0633578,206.5948944,203.0633578,206.5948944,374440000,0,0
1/27/2005,206.5948582,208.3606262,206.5948582,208.3606262,388630000,0,0
1/28/2005,208.3606627,208.3606627,204.8291261,206.5948944,271040000,0,0
1/31/2005,204.8291382,204.8291382,203.0633698,203.0633698,236080000,0,0
2/1/2005,203.0633578,206.5948944,203.0633578,206.5948944,170990000,0,0
2/2/2005,206.5948944,208.3606627,204.8291261,206.5948944,350620000,0,0
2/3/2005,206.5948976,210.1264343,204.8291293,210.1264343,371380000,0,0
2/4/2005,208.3606901,213.6579957,208.3606901,211.8922272,452960000,0,0
2/7/2005,211.8922272,213.6579957,210.1264586,211.8922272,306860000,0,0
2/8/2005,210.1264586,211.8922272,210.1264586,211.8922272,145560000,0,0
2/11/2005,210.1264586,213.6579957,210.1264586,211.8922272,285870000,0,0
2/14/2005,211.8922272,211.8922272,208.3606901,211.8922272,326000000,0,0
2/15/2005,211.8921792,217.1894836,211.8921792,217.1894836,429560000,0,0
2/16/2005,218.9552196,226.0182912,218.9552196,222.4867554,715460000,0,0
2/17/2005,226.0183564,238.3787353,226.0183564,234.8471985,920020000,0,0
2/18/2005,233.0814301,234.8471985,227.7841248,234.8471985,172390000,0,0
2/21/2005,234.8472046,234.8472046,231.3156677,233.0814362,93670000,0,0
2/22/2005,233.0814362,233.0814362,231.3156677,233.0814362,112470000,0,0
2/23/2005,231.3156677,238.3787415,229.5498992,233.0814362,169910000,0,0
2/24/2005,233.081394,238.3786984,231.3156259,236.6129303,297770000,0,0
2/25/2005,234.8472046,234.8472046,233.0814362,233.0814362,499650000,0,0
2/28/2005,233.0813501,233.0813501,226.0182789,231.3155823,477690000,0,0
3/1/2005,229.5498145,234.8471179,229.5498145,231.3155823,287430000,0,0
3/2/2005,231.3156303,231.3156303,224.2525576,226.0183258,243910000,0,0
3/3/2005,226.0183564,234.8471985,226.0183564,234.8471985,331170000,0,0
3/4/2005,234.8471622,240.1444666,233.081394,236.6129303,444930000,0,0
3/7/2005,236.612958,245.4417997,236.612958,241.9102631,893120000,0,0
3/8/2005,243.6759644,247.2075001,240.1444286,243.6759644,170600000,0,0
3/9/2005,245.441771,245.441771,236.6129303,236.6129303,476220000,0,0
3/10/2005,236.6129669,238.3787353,234.8471985,234.8471985,420230000,0,0
3/14/2005,236.6129303,238.3786984,231.3156259,236.6129303,409390000,0,0
3/15/2005,236.6129242,257.8021413,236.6129242,252.504837,785300000,0,0
3/16/2005,254.270663,268.396811,254.270663,266.6310425,750460000,0,0
3/17/2005,266.6309212,266.6309212,256.0363151,261.3336182,523960000,0,0
3/18/2005,264.8651535,264.8651535,259.5678505,261.3336182,272000000,0,0
3/21/2005,261.3337251,270.1625671,257.8021882,270.1625671,364340000,0,0
3/22/2005,273.6941165,275.4598849,261.333737,266.6310425,780220000,0,0
3/23/2005,266.6310425,266.6310425,266.6310425,266.6310425,0,0,0
3/24/2005,261.3336716,261.3336716,247.2075272,254.2705994,1949960000,0,0
3/28/2005,254.2706155,254.2706155,240.1444702,240.1444702,1046370000,0,0
3/29/2005,240.1445068,243.6760437,234.8472015,238.3787384,606600000,0,0
3/30/2005,236.6129669,243.6760405,229.5498933,234.8471985,1700220000,0,0
3/31/2005,236.6129339,241.9102384,236.6129339,240.1444702,1196590000,0,0
4/1/2005,240.1444702,243.6760065,238.3787021,240.1444702,516260000,0,0
4/4/2005,241.9101965,243.6759644,240.1444286,243.6759644,172170000,0,0
4/5/2005,243.6760314,243.6760314,240.1444947,241.9102631,247030000,0,0
4/6/2005,240.1444286,243.6759644,238.3786608,243.6759644,417050000,0,0
4/7/2005,243.6760314,243.6760314,234.8471897,241.9102631,1321300000,0,0
4/8/2005,241.9102631,241.9102631,238.3787264,241.9102631,153890000,0,0
4/11/2005,240.1444702,240.1444702,236.6129339,240.1444702,191500000,0,0
4/12/2005,238.3787021,240.1444702,234.8471657,240.1444702,725470000,0,0
4/13/2005,238.3787384,243.6760437,238.3787384,238.3787384,334880000,0,0
4/14/2005,240.1445068,241.9102753,234.8472015,238.3787384,578080000,0,0
4/15/2005,234.8471657,240.1444702,234.8471657,240.1444702,318220000,0,0
4/18/2005,236.6129669,236.6129669,231.3156617,234.8471985,836510000,0,0
4/19/2005,234.8471179,234.8471179,229.5498145,231.3155823,527100000,0,0
4/20/2005,233.0813976,241.9102384,233.0813976,240.1444702,423160000,0,0
4/21/2005,238.3787353,238.3787353,233.0814301,234.8471985,379890000,0,0
4/25/2005,234.8471307,234.8471307,213.6579159,222.4867554,1681200000,0,0
4/26/2005,222.4867895,226.0183258,218.9552531,226.0183258,507660000,0,0
4/27/2005,226.0183163,229.5498525,222.4867801,224.2525482,807540000,0,0
4/28/2005,224.2525444,226.0183125,218.9552402,220.7210083,550650000,0,0
